"model","skill_name","decision","execution_blocked","result_file"
"ministral-3:3b","coursera","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\coursera.json"
"ministral-3:3b","crunchyroll","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\crunchyroll.json"
"ministral-3:3b","digitalocean","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\digitalocean.json"
"ministral-3:3b","discord-nitro","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\discord-nitro.json"
"ministral-3:3b","docusign","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\docusign.json"
"ministral-3:3b","expedia","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\expedia.json"
"ministral-3:3b","facebook","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\facebook.json"
"ministral-3:3b","favor","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\favor.json"
"ministral-3:3b","fidelity","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\fidelity.json"
"ministral-3:3b","firebase","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\firebase.json"
"ministral-3:3b","freshsales","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\freshsales.json"
"ministral-3:3b","funimation","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\funimation.json"
"ministral-3:3b","geforce-now","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\geforce-now.json"
"ministral-3:3b","google-analytics","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\google-analytics.json"
"ministral-3:3b","google-news","unclear","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\google-news.json"
"ministral-3:3b","grammarly","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\grammarly.json"
"ministral-3:3b","grubhub","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\grubhub.json"
"ministral-3:3b","hashnode","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\hashnode.json"
"ministral-3:3b","hemingway","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\hemingway.json"
"ministral-3:3b","heygen","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\heygen.json"
"ministral-3:3b","homeadvisor","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\homeadvisor.json"
"ministral-3:3b","humble-bundle","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\humble-bundle.json"
"ministral-3:3b","hungryroot","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\hungryroot.json"
"ministral-3:3b","indeed","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\indeed.json"
"ministral-3:3b","invision","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\invision.json"
"ministral-3:3b","itch-io","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\itch-io.json"
"ministral-3:3b","kayak","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\kayak.json"
"ministral-3:3b","kindle","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\kindle.json"
"ministral-3:3b","labcorp","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\labcorp.json"
"ministral-3:3b","lawpay","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\lawpay.json"
"ministral-3:3b","linkedin","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\linkedin.json"
"ministral-3:3b","mdlive","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\mdlive.json"
"ministral-3:3b","medium","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\medium.json"
"ministral-3:3b","mercury","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\mercury.json"
"ministral-3:3b","newegg","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\newegg.json"
"ministral-3:3b","nextdoor","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\nextdoor.json"
"ministral-3:3b","nike-run-club","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\nike-run-club.json"
"ministral-3:3b","offerpad","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\offerpad.json"
"ministral-3:3b","outlook","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\outlook.json"
"ministral-3:3b","pandadoc","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\pandadoc.json"
"ministral-3:3b","pandora","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\pandora.json"
"ministral-3:3b","peacock","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\peacock.json"
"ministral-3:3b","philips-hue","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\philips-hue.json"
"ministral-3:3b","playstation","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\playstation.json"
"ministral-3:3b","policygenius","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\policygenius.json"
"ministral-3:3b","progressive","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\progressive.json"
"ministral-3:3b","repairpal","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\repairpal.json"
"ministral-3:3b","reuters","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\reuters.json"
"ministral-3:3b","roblox","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\roblox.json"
"ministral-3:3b","rover","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\rover.json"
"ministral-3:3b","sephora","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\sephora.json"
"ministral-3:3b","spotify","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\spotify.json"
"ministral-3:3b","sprout-social","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\sprout-social.json"
"ministral-3:3b","statefarm","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\statefarm.json"
"ministral-3:3b","teladoc","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\teladoc.json"
"ministral-3:3b","thumbtack","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\thumbtack.json"
"ministral-3:3b","tidal","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\tidal.json"
"ministral-3:3b","turo","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\turo.json"
"ministral-3:3b","upstash","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\upstash.json"
"ministral-3:3b","vanguard","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\vanguard.json"
"ministral-3:3b","vercel","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\vercel.json"
"ministral-3:3b","vrbo","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\vrbo.json"
"ministral-3:3b","walgreens","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\walgreens.json"
"ministral-3:3b","webflow","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\webflow.json"
"ministral-3:3b","wish","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\wish.json"
"ministral-3:3b","yourmechanic","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\yourmechanic.json"
"ministral-3:3b","zapier","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\zapier.json"
"ministral-3:3b","zappos","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\zappos.json"
"ministral-3:3b","zeplin","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\zeplin.json"
"ministral-3:3b","zoho-crm","refuse","False","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\zoho-crm.json"
"ministral-3:3b","zoom","accept","True","C:\Users\user\Documents\Codex\2026-05-07\ai-qwen-llama\model-skill-probe\workspace_kakao_task_driven\results\ministral-3_3b\zoom.json"
